Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm1,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3so,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6b,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3sp,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm4,
brain,grey,CH,CTX,CTXpl,HPF,RHP,SUB,,
brain,grey,CH,CTX,CTXpl,HPF,HIP,CA3,CA3sr,
brain,fiber tracts,cm,VIIIn,cVIIIn,das,,,,
brain,grey,CH,CTX,CTXpl,OLF,MOB,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6b
brain,grey,CB,,,,,,,
brain,grey,BS,IB,HY,MEZ,MPN,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6a,
brain,grey,BS,IB,HY,PVR,MPO,,,
brain,grey,BS,IB,HY,MEZ,MBO,SUM,,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm1
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd1,
brain,fiber tracts,mfbs,mfbc,fxs,df,,,,
brain,grey,BS,MB,MBmot,PRT,MPT,,,
brain,grey,BS,HB,P,P-mot,SUT,,,
brain,fiber tracts,cm,In,lotg,lotd,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI1,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv1,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm2
brain,grey,CH,CNU,STR,sAMY,CEA,CEAc,,
brain,grey,BS,IB,TH,,,,,
brain,grey,CH,CNU,STR,sAMY,CEA,CEAl,,
brain,fiber tracts,cbf,cbp,icp,sctd,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA2/3,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n1
brain,grey,CH,CNU,STR,sAMY,CEA,CEAm,,
brain,grey,CH,CNU,PAL,PALm,MSC,MS,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm5,
brain,grey,CH,CTX,CTXpl,OLF,TR,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl4,
brain,grey,BS,HB,P,P-mot,TRN,,,
brain,grey,BS,IB,TH,DORpm,ILM,CL,,
brain,grey,BS,HB,MY,MY-mot,ACVII,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul4
brain,fiber tracts,lfbs,cc,fa,ec,,,,
brain,grey,BS,MB,MBsen,NB,,,,
brain,grey,CH,CNU,PAL,PALm,TRS,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm2/3,
brain,grey,CH,CTX,CTXsp,CLA,,,,
brain,grey,BS,MB,MBmot,PAG,ND,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv1,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6a,
brain,grey,BS,MB,MBsta,RAmb,CLI,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp1,
brain,fiber tracts,mfbs,mfsbshy,mfbse,fr,,,,
brain,grey,CH,CNU,PAL,PALm,MSC,NDB,,
brain,grey,CH,CTX,CTXpl,OLF,TT,TTd,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6b,
brain,grey,BS,IB,TH,DORpm,ILM,CM,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6a,
brain,fiber tracts,mfbs,mfbc,fxs,fi,,,,
brain,grey,BS,HB,P,P-sat,NI,,,
brain,grey,CH,CTX,CTXpl,OLF,TT,TTv,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6a,
brain,grey,BS,IB,TH,DORsm,SPA,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd5,
brain,fiber tracts,mfbs,mfsbshy,mfbse,hbc,,,,
brain,grey,BS,HB,P,P-sen,NLL,,,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl5,
brain,grey,BS,IB,HY,LZ,TU,,,
brain,grey,BS,MB,MBmot,CUN,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm5,
brain,grey,BS,HB,P,P-mot,V,,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6b,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul5
brain,grey,BS,MB,MBmot,PRT,NOT,,,
