Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp6b,
grey,BS,HB,MY,MY-mot,MARN,,,
grey,CH,CNU,STR,LSX,SF,,,
grey,CH,CTX,CTXsp,BLA,BLAp,,,
grey,BS,MB,,,,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6a,
grey,BS,HB,P,P-mot,SG,,,
grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp1,
grey,BS,IB,TH,DORpm,GENv,SubG,,
grey,BS,IB,TH,DORpm,LAT,SGN,,
fiber tracts,cbf,cbp,scp,,,,,
grey,CH,CTX,CTXsp,BMA,BMAa,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId2/3,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-bfd,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd6b,
grey,BS,IB,HY,PVZ,ASO,,,
grey,CH,CNU,STR,LSX,SH,,,
grey,CH,CTX,CTXsp,BMA,BMAp,,,
grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6a,,
fiber tracts,cm,IIn,csc,,,,,
grey,BS,IB,HY,PVR,SFO,,,
grey,CH,CNU,PAL,PALv,SI,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp5,
grey,BS,IB,HY,PVR,SBPV,,,
fiber tracts,mfbs,mfsbshy,sup,,,,,
grey,BS,HB,P,P-sat,SLC,,,
grey,CH,CNU,PAL,PALc,BST,,,
grey,BS,HB,MY,,,,,
grey,CH,CTX,CTXpl,Isocortex,AI,AIp,AIp6b,
grey,BS,IB,HY,LZ,PST,,,
grey,BS,HB,P,P-sat,SLD,,,
grey,BS,IB,TH,DORpm,MED,MD,,
grey,CH,CTX,CTXpl,Isocortex,PL,PL5,,
grey,BS,IB,HY,LZ,PSTN,,,
grey,BS,IB,TH,DORpm,MED,SMT,,
grey,CH,CTX,CTXpl,Isocortex,PERI,PERI6b,,
grey,BS,HB,MY,MY-mot,ICB,,,
grey,BS,MB,MBsta,SNc,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6a,
fiber tracts,cm,drt,cett,dc,cuf,,,
grey,BS,MB,MBmot,SNr,,,,
grey,CH,CTX,CTXpl,HPF,HIP,CA,CA1,
grey,BS,IB,HY,PVZ,SO,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl6b,
fiber tracts,eps,rust,vtd,,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam4,
grey,CH,CNU,STR,sAMY,MEA,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl2/3,
fiber tracts,cm,VIIIn,vVIIIn,,,,,
grey,BS,IB,TH,DORsm,SPF,SPFm,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl1,
grey,BS,IB,TH,DORsm,SPF,SPFp,,
grey,CH,CTX,CTXpl,HPF,HIP,CA,CA2,
grey,CH,CTX,CTXpl,Isocortex,ECT,ECT2/3,,
fiber tracts,mfbs,mfbc,fxs,fxpo,mct,,,
grey,BS,HB,MY,MY-sen,SPVC,,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv2/3,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam5,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd2/3,
fiber tracts,mfbs,mfbc,fxs,fxpo,fx,,,
grey,BS,HB,MY,MY-sen,SPVI,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6a,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISam,VISam6b,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd1,
fiber tracts,mfbs,mfbc,fxs,hc,dhc,,,
grey,BS,HB,MY,MY-sen,SPVO,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl1,
fiber tracts,mfbs,mfbc,fxs,hc,vhc,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul1
grey,CH,CTX,CTXsp,BLA,BLAv,,,
grey,BS,IB,HY,PVR,MEPO,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo6b,
grey,BS,MB,MBsen,MEV,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr6b
grey,CH,CTX,CTXpl,HPF,HIP,CA,CA3,
