Oligo_50: #A9B519
Oligo_49: #9BDA23
Oligo_44: #A79C38
COP_43: #7C9311
COP_42: #72871A
Oligo_40: #88A01B
COP_41: #81D403
Oligo_48: #91D438
Oligo_45: #BBAC34
Oligo_47: #93B620
Oligo_46: #9FC940
COP_39: #909119
COP_38: #629904
COP_37: #9B960D
OPC_34: #0B84BD
OPC_35: #1F91EB
OPC_33: #218EE5
OPC_32: #1898DE
OPC_36: #1287C2
Bgl_51: #E7C31F
Astro_59: #B82DE1
Astro_62: #BA58B0
Astro_60: #A30FC5
Astro_56: #7E37CB
Astro_55: #C053C1
Astro_54: #B85EAF
Astro_52: #BD20C9
Astro_53: #B515C6
Astro_58: #B04CE0
Astro_57: #9A21E6
Astro_61: #C935B8
Astro_64: #8A3DE0
Astro_63: #9630E5
Epen_65: #E66C7A
Epen_66: #F68796
Epen_74: #E07B7C
Epen_71: #F35980
Epen_72: #F67EA6
Epen_67: #FD4788
Epen_68: #E2767A
Epen_69: #E0747F
Epen_70: #D37A99
Epen_73: #D47DA4
Chrp_82: #044B54
Chrp_77: #024150
Chrp_81: #0B6928
Chrp_76: #17461E
Chrp_78: #136833
Chrp_80: #0F640D
Chrp_79: #127238
COP_75: #76A131
VendPLVAP_13: #D34D1F
VendAC_14: #C41C1A
VendC_15: #C83121
VendVC_16: #D63814
VendV_17: #CE5412
Vsmc_19: #CB432C
VendA_18: #C22E06
Vsmc_20: #FC0913
Per_21: #BD3B18
Per_22: #D04605
Per_23: #E14D1D
Fbl_30: #D87D6C
Fbl_25: #E07A6E
Fbl_26: #CD722D
Fbl_28: #A7A44C
Fbl_27: #CC7B60
Fbl_24: #C08873
Fbl_29: #E86A52
Fbl_31: #BE845A
Mgl_12: #DB9539
Mgl_4: #E68D3B
Mgl_6: #ECC308
Mgl_7: #F4D115
Mgl_8: #F3DA20
Mgl_9: #EEC833
Mgl_10: #E79F40
Mgl_11: #E0D011
Mgl_5: #FA9120
Bcell_0: #A0DB13
Mono_3: #CDB808
Tcell_1: #F0F44D
Nkcell_2: #E2EE30
URL_297_0: #7E807A
URL_308_1: #C54945
URL_308_2: #5232B7
URL_308_3: #31BEBA
URL_308_4: #C8A9BC
URL_308_5: #54A436
URL_309_6: #BEB277
URL_309_7: #843180
URL_309_8: #35AD7A
URL_310_9: #676131
URL_311_10: #497E38
URL_311_11: #CB3380
URL_311_12: #BBC388
URL_311_13: #4287C3
URL_310_14: #8646B9
URL_310_15: #8EC88C
URL_312_16: #45328F
URL_312_17: #C85E40
URL_312_18: #61C1C2
URL_312_19: #CB78C3
URL_312_20: #4CB941
Misc_314_21: #80817C
Splat_363_22: #38C93C
Splat_363_23: #BFB3BF
Splat_363_24: #3847C3
Splat_363_25: #50BCB9
Splat_363_26: #353F3E
Splat_341_27: #80817E
Splat_342_28: #B03742
Splat_342_29: #347E39
Splat_342_30: #BCC452
Splat_342_31: #56D6B7
Splat_342_32: #383EBE
Splat_342_33: #C46CC7
Splat_336_34: #36494D
Splat_338_35: #74B12E
Splat_338_36: #C19DB9
Splat_338_37: #3297A3
Splat_338_38: #8F2E66
Splat_339_39: #BF8131
Splat_339_40: #BAB0C4
Thex_460_41: #873BC7
Thex_460_42: #355A39
Thex_460_43: #BDCF72
Thex_459_44: #87DABF
Thex_459_45: #20C4B3
Thex_453_46: #3FC3BC
Thex_459_47: #C238CF
Thex_455_48: #3BA840
Thex_455_49: #2C41B2
Thex_455_50: #BDAB3A
Thex_455_51: #C32CA4
Thex_455_52: #78282F
Thex_455_53: #3DC2BC
Thex_455_54: #BAB5B6
Thex_460_55: #BB4641
Thex_460_56: #36AFAE
Thex_457_57: #B93999
Thex_457_58: #C0C17F
Thex_457_59: #3D7ACE
Thex_457_60: #43393D
Thex_457_61: #51BF3C
Thex_449_62: #C83F64
Thex_449_63: #423880
Thex_448_64: #5F39D6
Thex_448_65: #CF3FB7
Thex_453_66: #CB464B
Thex_458_67: #70819A
Thex_458_68: #B3802C
Thex_458_69: #4240D0
Thex_458_70: #342E4B
Thex_458_71: #C03561
Thex_458_72: #BD43DB
Thex_458_73: #CABFCA
Thex_458_74: #D6D261
Thex_458_75: #3CCDD2
Thex_456_76: #777E80
Thex_448_77: #CFBCBC
Thex_453_78: #30C12F
Thex_453_79: #3C45B5
Thex_454_80: #383A4D
Thex_454_81: #BDC5B7
Thex_454_82: #BE3587
Thex_450_83: #435631
Thex_450_84: #4E35BA
Thex_451_85: #2FC8A9
Thex_451_86: #A1C432
Thex_451_87: #B5B7BD
Thex_451_88: #4A37C8
Thex_451_89: #CF3F73
Thex_451_90: #484F3A
Thex_458_91: #1FAB43
Thex_458_92: #71CB41
Thex_453_93: #B6C2C5
Thex_453_94: #BD40BA
Thex_449_95: #C9B899
Thex_453_96: #4D4136
Thex_453_97: #BFC051
Thex_447_98: #93303C
Thex_454_99: #3A84CC
Thex_454_100: #75C23D
Thex_450_101: #C6345B
Thex_450_102: #BE86C8
Thex_450_103: #B1C140
Thex_450_104: #3FCF98
Thex_449_105: #4FB2C1
Thex_449_106: #69BC2C
Thex_452_107: #78CF7D
Thex_452_108: #424B8A
Thex_452_109: #CA517D
Thex_448_110: #8CE06D
Thex_448_111: #7E843B
Thex_448_112: #C32B3C
Thex_448_113: #DEB726
Thex_448_114: #273F58
Thex_448_115: #23C447
Thex_448_116: #3EB5C4
Thex_447_117: #59BEBD
Thex_447_118: #3838B6
Thex_447_119: #C7B646
Thex_447_120: #C95AC3
Thex_447_121: #359438
Thex_445_122: #7F757F
Thex_446_123: #78823C
Thex_446_124: #817DC0
CBI_302_125: #787F7D
CBI_298_126: #BE5081
CBI_298_127: #3871AF
CBI_298_128: #7CC851
CBI_301_129: #9DC68C
CBI_299_130: #395F39
CBI_299_131: #563DC6
CBI_299_132: #C5ADB9
CBI_299_133: #BF2C7B
CBI_299_134: #42C5A3
CBI_299_135: #A6BD30
CBI_300_136: #41C350
CBI_300_137: #5138A2
CBI_300_138: #2C86D9
CBI_300_139: #C0D1BD
CBI_300_140: #C152C4
CBI_300_141: #CCBC42
CBI_300_142: #C74242
CBI_300_143: #3F4B35
CBI_303_144: #C6B73F
CBI_303_145: #49C77F
CBI_303_146: #CA71BD
CBI_303_147: #853C31
CBI_303_148: #4945C0
CBI_304_149: #3B9444
CBI_304_150: #97C0B4
CBI_304_151: #B8663B
CBI_304_152: #8035C1
CBI_306_153: #B96D81
CBI_306_154: #3B8B77
CBI_305_155: #9177BB
CBI_305_156: #678545
CBI_307_157: #A2B233
CBI_307_158: #73C5B9
CBI_307_159: #2C4F62
CBI_307_160: #AE3FA6
CBI_301_161: #B63D80
CBI_301_162: #316C69
Splat_409_163: #C2C97E
Splat_409_164: #BB3958
Splat_409_165: #397B3E
Splat_409_166: #7B46CC
Splat_409_167: #3EB8B5
Splat_238_168: #52C1C3
Splat_238_169: #3CBE33
Splat_238_170: #C154E2
Splat_238_171: #2C4CBC
Splat_238_172: #987C81
Splat_238_173: #C4BD2E
Splat_238_174: #D3C8AD
Splat_238_175: #BE3532
Splat_238_176: #493735
Splat_237_177: #34C83D
Splat_238_178: #D7258A
Splat_237_179: #C736C1
Splat_237_180: #5773BC
Splat_237_181: #A7B73C
Splat_237_182: #D14644
Splat_237_183: #494034
Splat_237_184: #2F1DBA
Splat_237_185: #C6BCAD
Splat_425_186: #2CCFDF
MGE_245_187: #507D9B
MGE_245_188: #4628C5
MGE_245_189: #3EC32E
MGE_245_190: #BA353F
Splat_235_191: #2D2DC1
Splat_235_192: #BDCD2E
Splat_235_193: #2C4640
Splat_235_194: #D5CB9D
Splat_235_195: #A036C6
Splat_235_196: #ACA4D4
Splat_235_197: #31D4A9
Splat_235_198: #3CB434
Splat_235_199: #457FC2
Splat_235_200: #94551F
MGE_254_201: #2EC743
MGE_254_202: #C37DB3
MGE_254_203: #8CAF35
MGE_254_204: #B92AB6
MGE_254_205: #C23D3F
MGE_254_206: #B7DBB9
MGE_254_207: #3AB2C4
MGE_254_208: #4540BE
MGE_254_209: #DCBB50
MGE_253_210: #2A42A2
MGE_253_211: #3ACA4B
MGE_253_212: #C43B40
MGE_253_213: #D078D2
MGE_253_214: #55BEC1
MGE_252_215: #B6BBC8
MGE_253_216: #403528
MGE_253_217: #BAB634
MGE_252_218: #45C134
MGE_253_219: #CCD7B8
MGE_254_220: #2F392F
MGE_252_221: #4D46E1
MGE_249_222: #3A28CC
MGE_252_223: #C0D73F
MGE_252_224: #598C81
MGE_252_225: #53338C
MGE_252_226: #AD3433
MGE_252_227: #33D0C1
MGE_252_228: #D944C4
MGE_252_229: #383B24
MGE_246_230: #3F2BB8
MGE_246_231: #3BAE25
MGE_246_232: #DC433C
MGE_246_233: #32D8CA
MGE_246_234: #7D3735
MGE_246_235: #C7BBB8
MGE_246_236: #AFC544
MGE_246_237: #BF2DBB
MGE_246_238: #39D56C
MGE_246_239: #5D8BCA
MGE_247_240: #CDBD5F
MGE_247_241: #3B404E
