Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
root,grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs1,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m2/3
root,fiber tracts,cm,VIIIn,cVIIIn,ll,,,,
root,grey,BS,HB,MY,MY-mot,VII,,,
root,grey,CH,CTX,CTXpl,Isocortex,GU,GU6b,,
root,grey,CH,CTX,CTXpl,OLF,COA,COAp,COApm,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm3
root,fiber tracts,cm,In,lotg,lot,,,,
root,grey,CH,CTX,CTXpl,Isocortex,FRP,FRP2/3,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr2/3
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl1,
root,grey,CH,CNU,STR,STRd,CP,,,
root,fiber tracts,mfbs,mfsbshy,mfbsma,mp,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv6a,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd4,
root,grey,BS,HB,P,P-sat,CS,,,
root,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6b,
root,fiber tracts,mfbs,mfsbshy,mfbsma,mtg,,,,
root,grey,BS,IB,TH,DORsm,VENT,VM,,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv5,
root,grey,BS,IB,HY,PVR,VLPO,,,
root,fiber tracts,mfbs,mfsbshy,mfbsma,mtt,,,,
root,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI5,,
root,grey,BS,IB,HY,MEZ,VMH,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv2/3,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo1,
root,fiber tracts,cm,drt,cett,ml,,,,
root,grey,CH,CTX,CTXpl,OLF,,,,
