"ILM: rgb(128,128,128)"
"PoC: rgb(128,128,128)"
"LP: rgb(128,128,128)"
"LD: rgb(128,128,128)"
"PreT: rgb(128,128,128)"
"Mes: rgb(128,128,128)"
"SN: rgb(128,128,128)"
"Rho: rgb(128,128,128)"
"Met: rgb(128,128,128)"
"Myel: rgb(128,128,128)"
